codigo_interno;descricao_do_produto
000329;BATENTE/COIFA AMORT TS
000330;COXIM MOTOR
000331;BIELETA DT
000332;CARTER MOTOR
000333;COXIM AMORT DT
000334;ROLAMENTO ALTERNADOR
000335;TAMBOR FREIO TS
000336;CABO EMBREAGEM
000337;CORREIA CVA
000338;MANGUEIRA SUPERIOR RADIADOR
000339;CARCACA VALVULA TERMOSTATICA
000340;COIFA SETOR DIRECAO
000341;COXIM AMORT DT
000342;INTERRUPTOR TEMPERATURA AGUA
000343;CORREIA CVA/EIXO KIT
000344;TENSOR CVA
000345;JUNTA MOTOR
000346;COXIM CAIXA
000347;BUCHA BRACO OSCILANTE
000348;COXIM AMORT DT
000349;CEBOLAO RADIADOR
000350;BUCHA CAIXA DIRECAO
000351;LAMPADA FAROLETE 69 PEQUENA
000352;COXIM CAIXA
000353;BATENTE/COIFA AMORT TS
000354;BATENTE/COIFA AMORT DT
000355;ENGRENAGEM VIRABREQUIM
000356;LONA FREIO TS
000357;LONA FREIO TS
000358;LONA FREIO TS
000359;LONA FREIO TS
000360;LONA FREIO DT
000361;LONA FREIO TS
000362;LONA FREIO TS
000363;LONA FREIO TS
000364;LONA FREIO TS
000365;LONA FREIO TS
000366;LONA FREIO TS
000367;LONA FREIO TS
000368;LONA FREIO TS
000369;LONA FREIO TS
000370;LONA FREIO TS
000371;LONA FREIO TS
000372;LONA FREIO TS
000373;LONA FREIO TS
000374;LONA FREIO TS
000375;COIFA SETOR DIRECAO
000376;COIFA CAIXA
000377;BORRACHA FACAO FUSCA BRAS.JG.C/4
000378;DISCO SETOR FUSCA BRAS.VAR.TL CWB
000379;COIFA CAIXA
000380;COXIM CAIXA INFERIOR
000381;ANTI CHAMA
000382;COXIM CAIXA INFERIOR
000383;BUCHA EIXO SUSP TS
000384;CONDENSADOR
000385;CONDENSADOR
000386;CONDENSADOR
000387;FUSIVEL RADIO 5AH (A179)
000388;BOBINA IGNICAO S/ PINO
000389;BUCHA CAIXA DIRECAO
000390;BUCHA CAIXA DIRECAO
000391;BUCHA CAIXA DIRECAO
000392;RETENTOR VOLANTE
000393;ABRACADEIRA ROSCA INFINITA
000394;JUNTA MOTOR
000395;JUNTA CARTER
000396;COIFA SETOR DIRECAO
000397;CONDENSADOR
000398;BATENTE AMORT TS
000399;COXIM BARRA TENSORA LADO DIREITO (MORCEGUINHO)
000400;COXIM BARRA TENSORA LADO ESQUERDO (MORCEGUINHO)
000401;REPARO CENTR.PATIM FIAT TDS 31MM =CWB308
000402;REPARO CENTRALIZADOR PATIM
000403;REPARO CENTR.PATIM GM FORD 39MM =CWB038/
000404;REPARO CENTR.PATIM CORSA CELTA 27MM (CX1
000405;CORREIA CVA
000406;ABRACADEIRA ROSCA INFINITA
000407;ABRACADEIRA ROSCA INFINITA
000408;ABRACADEIRA ROSCA INFINITA
000409;ABRACADEIRA ROSCA INFINITA
000410;ABRACADEIRA ROSCA INFINITA
000411;ABRACADEIRA ROSCA INFINITA
000412;ABRACADEIRA TIPO NORMAN
000413;VELA IGNICAO
000414;CHAVE VELA
000415;CHAVE VELA
000416;TUCHO VALVULA MOTOR
000417;CORREIA CVA
000418;ALONGADOR VELA
000419;ALONGADOR VELA
000420;PASTILHA DT
000421;CORREIA CVA
000422;DESCARBONIZANTE
000423;VALVULA TERMOSTATICA
000424;ANTI CHAMA
000425;FILTRO OLEO
000426;RETENTOR CAIXA (EIXO PILOTO)
000427;RETENTOR CAIXA (HASTE SELETORA)
000428;RETENTOR CVA
000429;PASTILHA DT
000430;CONDENSADOR
000431;DISCO FREIO DT SOLIDO COM CUBO
000432;REPARO PINCA
000433;BOMBA COMBUSTIVEL CARBURADO
000434;BATENTE AMORT TS
000435;BOMBA COMBUSTIVEL CARBURADO
000436;ANEL BORRACHA GUIA COLAR EMBREAGEM
000437;CABO EMBREAGEM
000438;CUBO RODA DT
000439;CORREIA ALT
000440;KIT BARRA ESTABILIZADORA DT
000441;AMORT TS
000442;AMORTECEDOR TRASEIRO
000443;KIT BARRA ESTAB DT EXT
000444;TENSOR AUX CVA
000445;TENSOR AUXILIAR ALTERNADOR (POLIA)
000446;BUJAO CARTER MOTOR
000447;PIVO INFERIOR DT LD LE
000448;PONTEIRA DIRECAO LE
000449;CUBO RODA TS SEM ROLAMENTO
000450;CILINDRO MESTRE
